Conceito;Categoria;Subcategoria;Nivel_Prerequisito;Conhecimento_Atual;Objetivo;Data_Estudo;Tempo_Investido_hrs;Notas;
Padrão Escada;Fundamentos;Significado Gap;MAG;0;10;;;Série de gaps na mesma direção;
Swing High;Fundamentos;Linhas Horizontais;Higher High;0;10;;;Topo significativo;
Swing Low;Fundamentos;Linhas Horizontais;Lower Low;0;10;;;Fundo significativo;
Números Redondos;Fundamentos;Linhas Horizontais;Nenhum;0;10;;;Níveis psicológicos (00/50);
Linha de Tendência;Fundamentos;Linhas Diagonais;Swing High/Low;0;10;;;Conecta pivots da tendência;
Linha de Canal;Fundamentos;Linhas Diagonais;Linha de Tendência;0;10;;;Paralela à linha de tendência;
MA como Linha Dinâmica;Fundamentos;Linhas Dinâmicas;Média Móvel;0;10;;;S/R móvel - EMA20;
Equação do Trader;Fundamentos;Matemática;Nenhum;0;10;;;Edge = Prob x Reward - Risk;
Edge (Vantagem);Fundamentos;Matemática;Equação do Trader;0;10;;;Expectativa matemática positiva;
Probabilidade;Fundamentos;Matemática;Equação do Trader;0;10;;;Chance de sucesso do setup;
Recompensa;Fundamentos;Matemática;Equação do Trader;0;10;;;Potencial de lucro;
Risco;Fundamentos;Matemática;Equação do Trader;0;10;;;Potencial de perda (stop);
Três Variáveis;Fundamentos;Matemática;Equação do Trader;0;10;;;Prob/Reward/Risk - ajustar 1 afeta outras;
Z-score;Fundamentos;Matemática Avançada;Três Variáveis;0;10;;;Medida estatística de desvio;
Probabilidade Alta (70-90%);Fundamentos;Níveis de Probabilidade;Probabilidade;0;10;;;Com tendência forte;
Probabilidade Média (50-60%);Fundamentos;Níveis de Probabilidade;Probabilidade;0;10;;;Setup padrão;
Probabilidade Baixa (40-50%);Fundamentos;Níveis de Probabilidade;Probabilidade;0;10;;;Contra-tendência ou scalp;
Prob TR Alta perto Topo/Fundo;Fundamentos;Níveis de Probabilidade;Probabilidade;0;10;;;Reversão mais provável em extremos;
Risco Fixo;Fundamentos;Tipos de Risco;Risco;0;10;;;Stop em valor fixo;
Risco Variável;Fundamentos;Tipos de Risco;Risco;0;10;;;Stop baseado em estrutura;
Risco Efetivo;Fundamentos;Tipos de Risco;Risco Variável;0;10;;;Risco real considerando contexto;
Recompensa <2x (Pequena);Fundamentos;Níveis de Recompensa;Recompensa;0;10;;;Scalp;
Recompensa 2-3x (Média);Fundamentos;Níveis de Recompensa;Recompensa;0;10;;;Swing padrão;
Recompensa >3x (Grande);Fundamentos;Níveis de Recompensa;Recompensa;0;10;;;Swing excelente;
Mínimo 2x para Swing;Fundamentos;Níveis de Recompensa;Recompensa;0;10;;;Regra para swing trade;
Regra 80% - Reversões Falham;Fundamentos;Regras Estatísticas;Nenhum;0;10;;;80% das tentativas de reversão falham;
Regra 80% - Rompimentos Falham;Fundamentos;Regras Estatísticas;Nenhum;0;10;;;80% dos breakouts falham;
Regra 80% - Inércia;Fundamentos;Regras Estatísticas;Regra 80%;0;10;;;Mercado tende a continuar;
Regra 70% - Teste de Canal;Fundamentos;Regras Estatísticas;Linha de Canal;0;10;;;70% testam linha oposta;
Regra 40-60;Fundamentos;Regras Estatísticas;Probabilidade Média;0;10;;;Probabilidade média em TR;
Operações Perfeitas Não Existem;Fundamentos;Mentalidade;Nenhum;0;10;;;Aceitar imperfeição;
Disciplina;Psicologia;Traços de Sucesso;Nenhum;0;10;;;Seguir regras consistentemente;
Paciência;Psicologia;Traços de Sucesso;Nenhum;0;10;;;Aguardar setup de qualidade;
Confiança;Psicologia;Traços de Sucesso;Disciplina e Paciência;0;10;;;Confiança no sistema;
Gestão de Medo;Psicologia;Estados Destrutivos;Nenhum;0;10;;;Controlar medo de perder;
Gestão de Ambição;Psicologia;Estados Destrutivos;Nenhum;0;10;;;Não forçar trades;
Gestão de FOMO;Psicologia;Estados Destrutivos;Nenhum;0;10;;;Fear of missing out;
Evitar Decisões Estúpidas;Psicologia;Estados Destrutivos;Nenhum;0;10;;;Não operar por impulso;
Aceitar Incerteza;Psicologia;Gestão Emocional;Nenhum;0;10;;;Resultado probabilístico;
Não Vingar Perdas;Psicologia;Gestão Emocional;Aceitar Incerteza;0;10;;;Não revenge trading;
Aprender com Perdas;Psicologia;Gestão Emocional;Não Vingar Perdas;0;10;;;Análise de erros;
Não Comemorar Cedo;Psicologia;Gestão Emocional;Nenhum;0;10;;;Proteger lucros abertos;
Proteger Ganhos;Psicologia;Gestão Emocional;Não Comemorar Cedo;0;10;;;Trailing stops;
Falsas Crenças;Psicologia;Crenças Limitantes;Nenhum;0;10;;;Identificar e eliminar;
Overtrading;Psicologia;Erros Comuns;Paciência;0;10;;;Operar demais;
Revenge Trading;Psicologia;Erros Comuns;Não Vingar Perdas;0;10;;;Tentar recuperar perda;
Gerenciamento Ruim;Psicologia;Erros Comuns;Disciplina;0;10;;;Não seguir plano;
Quatro Fases do Mercado;Contexto;Ciclo de Mercado;Nenhum;0;10;;;Livro/Video;Tendência/Canal/TR/Rompimento
Fase Tendência;Contexto;Fases;Quatro Fases;0;10;;;Livro/Video;Direção clara
Fase Canal;Contexto;Fases;Quatro Fases;0;10;;;Livro/Video;Entre 2 linhas paralelas
Fase Lateralidade (TR);Contexto;Fases;Quatro Fases;0;10;;;Livro/Video;Range-bound
Fase Rompimento;Contexto;Fases;Quatro Fases;0;10;;;Livro/Video;Breakout
Transição por Correção;Contexto;Transições;Quatro Fases;0;10;;;Livro/Video;Pullback evolui para TR
Transição por Rompimento;Contexto;Transições;Quatro Fases;0;10;;;Livro/Video;BO inicia nova fase
Inércia do Mercado;Contexto;Ciclo;Regra 80%;0;10;;;Livro/Video;Tendência continuar > reverter
Mercados Resistem à Mudança;Contexto;Ciclo;Inércia;0;10;;;Livro/Video;Favor da continuação
Probing Contínuo;Contexto;Ciclo;Como Mercados Funcionam;0;10;;;Livro/Video;Testar S/R constantemente
Conceito Always In Direction;Contexto;Always In;Nenhum;0;10;;;Livro/Video;Framework central Al Brooks
Always In Long (AIL);Contexto;Always In Direction;Conceito Always In;0;10;;;Livro/Video;Viés compra
Always In Short (AIS);Contexto;Always In Direction;Conceito Always In;0;10;;;Livro/Video;Viés venda
Estado Tendência (AI);Contexto;Always In Estado;Always In Direction;0;10;;;Livro/Video;AI clara
Estado Lateralidade (AI);Contexto;Always In Estado;Always In Direction;0;10;;;Livro/Video;AI confusa
Always In Clara;Contexto;Always In Clareza;Always In Direction;0;10;;;Livro/Video;Fácil determinar direção
Always In Confusa;Contexto;Always In Clareza;Always In Direction;0;10;;;Livro/Video;Difícil determinar - TR
BLSHS - Buy Low;Contexto;Always In BLSHS;Always In Confusa;0;10;;;Livro/Video;Comprar em baixo de TR
BLSHS - Sell High;Contexto;Always In BLSHS;Always In Confusa;0;10;;;Livro/Video;Vender em topo de TR
BLSHS - Scalp;Contexto;Always In BLSHS;Always In Confusa;0;10;;;Livro/Video;Entradas rápidas em TR
Decisões Binárias;Contexto;Always In;Always In Direction;0;10;;;Livro/Video;Long ou Short - simplificar
Estrutura de Tendência;Contexto;Tendência;HH/HL/LH/LL;0;10;;;Livro/Video;Swings/Pernas/Pivots
Tendência Alta - Higher Lows;Contexto;Tendência Alta;Higher Low;0;10;;;Livro/Video;Série de HLs
Compradores Controlam;Contexto;Tendência Alta;Tendência Alta HL;0;10;;;Livro/Video;Bulls no comando
Micro Canal Alta;Contexto;Tendência Alta Tipos;Tendência Alta;0;10;;;Livro/Video;Mais forte - sem correção
Canal Estreito Alta;Contexto;Tendência Alta Tipos;Tendência Alta;0;10;;;Livro/Video;Correções rasas
Canal Amplo Alta;Contexto;Tendência Alta Tipos;Tendência Alta;0;10;;;Livro/Video;Correções profundas
Correção Rasa;Contexto;Tendência Alta Tipos;Tendência Alta;0;10;;;Livro/Video;Sinal de força
Tendência Baixa - Lower Highs;Contexto;Tendência Baixa;Lower High;0;10;;;Livro/Video;Série de LHs
Vendedores Controlam;Contexto;Tendência Baixa;Tendência Baixa LH;0;10;;;Livro/Video;Bears no comando
Micro Canal Baixa;Contexto;Tendência Baixa Tipos;Tendência Baixa;0;10;;;Livro/Video;Mais forte - sem correção
Canal Estreito Baixa;Contexto;Tendência Baixa Tipos;Tendência Baixa;0;10;;;Livro/Video;Correções rasas
Canal Amplo Baixa;Contexto;Tendência Baixa Tipos;Tendência Baixa;0;10;;;Livro/Video;Correções profundas
Tendência Forte - Características;Contexto;Qualidade Tendência;Estrutura Tendência;0;10;;;Livro/Video;Barras grandes/gaps/micro canal
Tendência Fraca - Características;Contexto;Qualidade Tendência;Estrutura Tendência;0;10;;;Livro/Video;Barras pequenas/dojis/overlap
Quando Não Clara é TR;Contexto;Tendência;Always In Confusa;0;10;;;Livro/Video;Dúvida = lateralidade
Rompimento Significa Mais Forte;Contexto;Tendência;Fase Rompimento;0;10;;;Livro/Video;BO indica força
Tendências Tentam Reverter (80% falham);Contexto;Tendência;Regra 80%;0;10;;;Livro/Video;Maioria reversões falha
Tendência da Abertura;Contexto;Tendência;Nenhum;0;10;;;Livro/Video;Definida nas primeiras barras
Tendências Respeitam Correções Major;Contexto;Tendência;Estrutura Tendência;0;10;;;Livro/Video;Não quebram swings importantes
Novas Tendências Começam em Antigas;Contexto;Tendência;Estrutura Tendência;0;10;;;Livro/Video;Reversão de tendência anterior
Definição Canal;Contexto;Canais;Linha de Canal;0;10;;;Livro/Video;2 linhas paralelas
2 Pontos Necessários;Contexto;Canais;Definição Canal;0;10;;;Livro/Video;Mínimo para traçar
Canal Alta Estreito;Contexto;Tipos Canal;Definição Canal;0;10;;;Livro/Video;Alta com correções rasas
Canal Alta Amplo;Contexto;Tipos Canal;Definição Canal;0;10;;;Livro/Video;Alta com correções profundas
Canal Baixa Estreito;Contexto;Tipos Canal;Definição Canal;0;10;;;Livro/Video;Baixa com correções rasas
Canal Baixa Amplo;Contexto;Tipos Canal;Definição Canal;0;10;;;Livro/Video;Baixa com correções profundas
Micro Canal - Tendência Mais Forte;Contexto;Micro Canal;Canal Estreito;0;10;;;Livro/Video;Sem correções
Micro Canal - Pode Ser Clímax;Contexto;Micro Canal;Micro Canal;0;10;;;Livro/Video;Insustentável
Teste Linha Canal (70%);Contexto;Comportamento Canal;Regra 70%;0;10;;;Livro/Video;70% tocam linha oposta
Overshoot;Contexto;Comportamento Canal;Definição Canal;0;10;;;Livro/Video;Rompe e volta
Undershoot;Contexto;Comportamento Canal;Definição Canal;0;10;;;Livro/Video;Não alcança linha
Evolução Canal para TR;Contexto;Comportamento Canal;Definição Canal e TR;0;10;;;Livro/Video;Canal amplo vira TR
Como Traçar Canais;Contexto;Canais Prático;Linha de Canal;0;10;;;Livro/Video;Técnica de desenho
Rompimentos Canal Geralmente Falham;Contexto;Rompimentos Canal;Regra 80%;0;10;;;Livro/Video;Maioria falha
BO Início Tendência Mais Sucesso;Contexto;Rompimentos Canal;Rompimentos Canal;0;10;;;Livro/Video;Timing melhor
Maioria Canais São Cunhas;Contexto;Canais;Definição Canal;0;10;;;Livro/Video;Linhas convergem
Canal Amplo ou TR;Contexto;Canais;Canal Amplo e TR;0;10;;;Livro/Video;Difícil distinguir
Toda TR tem Canal Alta e Baixa;Contexto;Canais e TR;Canal e TR;0;10;;;Livro/Video;Perspectivas diferentes
Definição TR;Contexto;Lateralidade;Always In Confusa;0;10;;;Livro/Video;Trading Range
TR - Correção vs Lateralidade;Contexto;Lateralidade;TR;0;10;;;Livro/Video;Diferença temporal
TR - Confusão;Contexto;Lateralidade;TR;0;10;;;Livro/Video;Natureza da TR
TR - Decepção;Contexto;Lateralidade;TR;0;10;;;Livro/Video;Frustra ambos lados
TTR (Tight Trading Range);Contexto;Amplitude TR;TR;0;10;;;Livro/Video;TR estreita - compressão
TR Ampla;Contexto;Amplitude TR;TR;0;10;;;Livro/Video;Range largo
BOM (Breakout Mode);Contexto;Modos TR;TR;0;10;;;Livro/Video;Esperando rompimento
LOM (Limit Order Market);Contexto;Modos TR;TR;0;10;;;Livro/Video;Fade extremos
Posição no Topo TR;Contexto;Posição TR;TR;0;10;;;Livro/Video;Perto resistência
Posição no Meio TR;Contexto;Posição TR;TR;0;10;;;Livro/Video;Zona neutra
Posição no Fundo TR;Contexto;Posição TR;TR;0;10;;;Livro/Video;Perto suporte
Metade Superior TR;Contexto;Posição TR;TR;0;10;;;Livro/Video;Viés venda
Metade Inferior TR;Contexto;Posição TR;TR;0;10;;;Livro/Video;Viés compra
TR Contém Setups Ambos Lados;Contexto;Características TR;TR;0;10;;;Livro/Video;Buy e sell signals
Pernas na TR (não tendência);Contexto;Características TR;TR;0;10;;;Livro/Video;Movimentos dentro range
Platôs;Contexto;Características TR;TR;0;10;;;Livro/Video;Consolidações horizontais
Efeito Vácuo;Contexto;Comportamento TR;TR;0;10;;;Livro/Video;Atrai para meio do range
Lógica Perversa;Contexto;Comportamento TR;TR;0;10;;;Livro/Video;Faz o oposto do esperado
Não Aposte NO Rompimento;Contexto;Comportamento TR;Regra 80%;0;10;;;Livro/Video;80% falham
Aposte CONTRA Rompimento;Contexto;Comportamento TR;Regra 80%;0;10;;;Livro/Video;Fade o BO
Sinais Antecipados TR;Contexto;Lateralidade;TR Fraca;0;10;;;Livro/Video;Identificar cedo
Toda TR é Bandeira Potencial;Contexto;Lateralidade;TR;0;10;;;Livro/Video;Pode continuar tendência
TR Eventualmente Rompe;Contexto;Lateralidade;TR;0;10;;;Livro/Video;Questão de quando
Definição Rompimento (BO);Contexto;Rompimentos;Nenhum;0;10;;;Livro/Video;Breakout
Rompimento de Alta;Contexto;Tipos BO;Definição BO;0;10;;;Livro/Video;Bullish breakout
Rompimento de Baixa;Contexto;Tipos BO;Definição BO;0;10;;;Livro/Video;Bearish breakout
BO Forte - Gap;Contexto;Qualidade BO Forte;Definição BO e Gap;0;10;;;Livro/Video;Com gap
BO Forte - Grande Barra;Contexto;Qualidade BO Forte;Definição BO;0;10;;;Livro/Video;Barra de impulso
BO Forte - Follow-Through;Contexto;Qualidade BO Forte;Definição BO;0;10;;;Livro/Video;Continuidade após BO
BO Forte - Continuidade;Contexto;Qualidade BO Forte;Definição BO;0;10;;;Livro/Video;Não volta
BO Forte - Segunda Perna;Contexto;Qualidade BO Forte;Definição BO;0;10;;;Livro/Video;Leg1=Leg2
BO Fraco - Características;Contexto;Qualidade BO Fraco;Definição BO;0;10;;;Livro/Video;Sem gap/pequeno/sem follow
Resultado BO - Sucesso;Contexto;Resultado BO;Definição BO;0;10;;;Livro/Video;Inicia tendência
Resultado BO - Falha (80%);Contexto;Resultado BO;Regra 80%;0;10;;;Livro/Video;Maioria falha
Reversão é Rompimento;Contexto;Rompimentos;Definição BO;0;10;;;Livro/Video;BO da tendência anterior
Lateralidade = BLSHS em BO;Contexto;Rompimentos;BLSHS;0;10;;;Livro/Video;Operar como TR
BO Pode Começar Pequeno;Contexto;Rompimentos;Definição BO;0;10;;;Livro/Video;Não precisa ser explosivo
Segunda Perna Comum BO;Contexto;Rompimentos;Definição BO;0;10;;;Livro/Video;TBTL
Rompimentos de TR;Contexto;Rompimentos;TR e BO;0;10;;;Livro/Video;BO de range
Teste de Rompimento;Contexto;Rompimentos;Definição BO;0;10;;;Livro/Video;Pullback ao ponto BO
Falha BO - Retomada Tendência;Contexto;Falha BO;Resultado BO Falha;0;10;;;Livro/Video;Volta direção anterior
Falha BO - Reversão;Contexto;Falha BO;Resultado BO Falha;0;10;;;Livro/Video;Inverte direção
BO como EG ou MG;Contexto;Rompimentos;EG e MG;0;10;;;Livro/Video;Gaps após BO
BO Fraco = TR em Breve;Contexto;Rompimentos;BO Fraco;0;10;;;Livro/Video;Sem força para continuar
BO Geralmente Segue Armadilha;Contexto;Rompimentos;BO e Armadilhas;0;10;;;Livro/Video;Trap antes BO real
Rompimento Tardio;Contexto;Rompimentos;Definição BO;0;10;;;Livro/Video;Final de tendência
BO Início Tendência (melhor);Contexto;Rompimentos;Definição BO;0;10;;;Livro/Video;Melhor timing
Definição Leg (Perna);Contexto;Legs e Swings;Estrutura Tendência;0;10;;;Livro/Video;Movimento direcional
Primeira Perna;Contexto;Legs;Definição Leg;0;10;;;Livro/Video;Leg 1
Segunda Perna;Contexto;Legs;Primeira Perna;0;10;;;Livro/Video;Leg 2
Leg 1 = Leg 2;Contexto;Legs;Segunda Perna;0;10;;;Livro/Video;Movimento projetado
Pivot Alto;Contexto;Pivots;Swing High;0;10;;;Livro/Video;Topo de swing
Pivot Baixo;Contexto;Pivots;Swing Low;0;10;;;Livro/Video;Fundo de swing
Correção (Pullback);Contexto;Correções;Estrutura Tendência;0;10;;;Livro/Video;Retração temporária
Major High/Low;Contexto;Classificação Major;Pivot;0;10;;;Livro/Video;Pivots importantes
Minor High/Low;Contexto;Classificação Minor;Pivot;0;10;;;Livro/Video;Pivots menores
Contagem H1 L1;Contexto;Contagem Legs;Legs;0;10;;;Livro/Video;Primeira máxima/mínima
Contagem H2 L2;Contexto;Contagem Legs;H1 L1;0;10;;;Livro/Video;Contra-tendência sai
Contagem H3 L3;Contexto;Contagem Legs;H2 L2;0;10;;;Livro/Video;Terceira perna
Contagem H4 L4;Contexto;Contagem Legs;H3 L3;0;10;;;Livro/Video;Atenção exaustão
Tempos Gráficos Afetam Legs;Contexto;Legs;Tempos Gráficos;0;10;;;Livro/Video;HTF diferentes de LTF
Correção Rasa (força);Contexto;Tipos Correção;Correção;0;10;;;Livro/Video;Sinal forte
Correção Profunda (fraqueza);Contexto;Tipos Correção;Correção;0;10;;;Livro/Video;Sinal fraco
Correção 50%;Contexto;Tipos Correção;Correção;0;10;;;Livro/Video;Metade do movimento
Correção Sem Fim (vira TR);Contexto;Tipos Correção;Correção e TR;0;10;;;Livro/Video;Perde momento
Correção Majoritária vs Minoritária;Contexto;Correções;Major e Minor;0;10;;;Livro/Video;Tamanho relativo
Toda Correção é Bandeira Potencial;Contexto;Correções;Correção;0;10;;;Livro/Video;Pode continuar
Matemática Melhora Depois BO;Contexto;Correções;BO;0;10;;;Livro/Video;Probabilidade aumenta
Tipos de Pressão;Contexto;Pressão;Nenhum;0;10;;;Livro/Video;Compra/Venda/Equilíbrio
Pressão - Manifestação;Contexto;Pressão;Tipos Pressão;0;10;;;Livro/Video;Gap/Barras/Sequência
Compradores/Vendedores Fortes/Fracos;Contexto;Pressão;Tipos Pressão;0;10;;;Livro/Video;Força relativa
Trapped Traders;Contexto;Pressão;Armadilhas;0;10;;;Livro/Video;Traders presos
Emboscados;Contexto;Pressão;Trapped Traders;0;10;;;Livro/Video;Ambushed
Desapontados;Contexto;Pressão;Nenhum;0;10;;;Livro/Video;Disappointed bulls/bears
Definição S/R;Contexto;Suporte e Resistência;Nenhum;0;10;;;Livro/Video;Zonas de decisão
S/R Controlam Preço;Contexto;S/R;Definição S/R;0;10;;;Livro/Video;Não notícias
Tipos de S/R;Contexto;S/R;Definição S/R;0;10;;;Livro/Video;Swing/MA/Números/Canal
S/R de HTF Mais Importante;Contexto;S/R Origem;HTF;0;10;;;Livro/Video;Timeframe maior > menor
S/R Testado vs Não Testado;Contexto;S/R Nível;Definição S/R;0;10;;;Livro/Video;História do nível
S/R Respeitado vs Violado;Contexto;S/R Reação;Definição S/R;0;10;;;Livro/Video;Resultado do teste
Teste S/R - Sucesso/Falha;Contexto;S/R Teste;Definição S/R;0;10;;;Livro/Video;Hold ou break
Segunda Tentativa;Contexto;S/R Teste;Teste S/R;0;10;;;Livro/Video;Teste duplo
Teste Tardio;Contexto;S/R Teste;Teste S/R;0;10;;;Livro/Video;Tarde no dia
Compra/Venda em Fechamento;Contexto;S/R;Nenhum;0;10;;;Livro/Video;BTC/STC
Teste de BO;Contexto;S/R;BO e S/R;0;10;;;Livro/Video;Pullback ao ponto breakout
Compradores Precisam HL;Contexto;S/R;Higher Low;0;10;;;Livro/Video;Para continuar alta
Vendedores Precisam LH;Contexto;S/R;Lower High;0;10;;;Livro/Video;Para continuar baixa
Clímax Sempre Termina em S/R;Contexto;S/R;Clímax;0;10;;;Livro/Video;Exaustão em nível
Movimentos Projetados (MM);Contexto;MM;Leg1=Leg2;0;10;;;Livro/Video;Measured moves
MM - Perna 1 = Perna 2;Contexto;MM;Legs;0;10;;;Livro/Video;Projeção igual
MM - Altura TR;Contexto;MM;TR;0;10;;;Livro/Video;Range como alvo
MM - Altura BO;Contexto;MM;BO;0;10;;;Livro/Video;Tamanho breakout
MM - Uso para Alvos;Contexto;MM;MM;0;10;;;Livro/Video;Targets
MM - Uso para Stops;Contexto;MM;MM;0;10;;;Livro/Video;Proteção
Definição Barra de Sinal;Padrões;Barras de Sinal;Barra de Sinal;0;10;;;Livro/Video;Barra que precede entrada
Barra de Entrada;Padrões;Barras de Sinal;Barra de Sinal;0;10;;;Livro/Video;Onde executar
Qualidade de Sinal - Forte;Padrões;Barras de Sinal;Barra de Sinal;0;10;;;Livro/Video;Corpo grande/fechamento extremo
Qualidade de Sinal - Fraca;Padrões;Barras de Sinal;Barra de Sinal;0;10;;;Livro/Video;Corpo pequeno/sombra grande
Sinais Ruins (evitar);Padrões;Barras de Sinal;Qualidade Sinal;0;10;;;Livro/Video;Contra contexto
Confirmação - Primeiro Sinal;Padrões;Confirmação;Barra de Sinal;0;10;;;Livro/Video;Primeira tentativa
Confirmação - Segundo Sinal (melhor);Padrões;Confirmação;Primeiro Sinal;0;10;;;Livro/Video;Mais confiável
Confirmação - Terceiro Sinal;Padrões;Confirmação;Segundo Sinal;0;10;;;Livro/Video;Muito tarde?
Sinal Com Tendência (melhor);Padrões;Contexto Sinal;Tendência;0;10;;;Livro/Video;Probabilidade alta
Sinal Contra Tendência;Padrões;Contexto Sinal;Tendência;0;10;;;Livro/Video;Precisa muito forte
Sinal Em TR;Padrões;Contexto Sinal;TR;0;10;;;Livro/Video;BLSHS
Barra de Sinal Pequena;Padrões;Barras de Sinal;Barra de Sinal;0;10;;;Livro/Video;Pode ser excelente
Definição Setup;Padrões;Setups;Contexto + Sinal;0;10;;;Livro/Video;Contexto + Barra sinal
Setup Fraco (precisa mais);Padrões;Setups;Definição Setup;0;10;;;Livro/Video;Baixa probabilidade
Apostar Contra Setups Fracos;Padrões;Setups;Setup Fraco;0;10;;;Livro/Video;Fade
Contagem de Barras;Padrões;Contagem;Nenhum;0;10;;;Livro/Video;H1-H4
TBTL (Ten Bars Two Legs);Padrões;Contagem;Contagem Barras;0;10;;;Livro/Video;~10 barras 2 pernas
Reversões Consecutivas H4/L4;Padrões;Contagem;H4 L4;0;10;;;Livro/Video;Após 4 pernas
Bull Flag - Definição;Padrões;Continuação - Bandeiras;Tendência Alta;0;10;;;Livro/Video;Correção em alta
Topo Duplo como Bull Flag;Padrões;Bull Flag;Bull Flag e Duplo;0;10;;;Livro/Video;DT em correção alta
Cunha como Bull Flag;Padrões;Bull Flag;Bull Flag e Cunha;0;10;;;Livro/Video;Wedge down em alta
Canal Baixa como Bull Flag;Padrões;Bull Flag;Bull Flag e Canal;0;10;;;Livro/Video;Bear channel em alta
Bear Flag - Definição;Padrões;Continuação - Bandeiras;Tendência Baixa;0;10;;;Livro/Video;Correção em baixa
Fundo Duplo como Bear Flag;Padrões;Bear Flag;Bear Flag e Duplo;0;10;;;Livro/Video;DB em correção baixa
Cunha como Bear Flag;Padrões;Bear Flag;Bear Flag e Cunha;0;10;;;Livro/Video;Wedge up em baixa
Canal Alta como Bear Flag;Padrões;Bear Flag;Bear Flag e Canal;0;10;;;Livro/Video;Bull channel em baixa
Bandeiras Finais - Definição;Padrões;Bandeiras;Bandeiras;0;10;;;Livro/Video;Última antes TR
Bandeiras Finais - Rasa;Padrões;Bandeiras Finais;Bandeiras Finais;0;10;;;Livro/Video;Correção pequena
